date,region,product,marketing_spend,price,units_sold,revenue,profit
2024-01-01,North,Laptop,2000,900,25,22500,5000
2024-01-02,South,Laptop,1500,900,20,18000,3800
2024-01-03,East,Laptop,2200,900,28,25200,5600
2024-01-04,West,Laptop,1800,900,23,20700,4200
2024-01-05,North,Phone,1200,600,35,21000,4800
2024-01-06,South,Phone,1000,600,30,18000,4000
2024-01-07,East,Phone,1400,600,40,24000,5200
2024-01-08,West,Phone,1100,600,33,19800,4300
2024-01-09,North,Tablet,900,400,20,8000,1800
2024-01-10,South,Tablet,800,400,18,7200,1600
2024-01-11,East,Tablet,1000,400,22,8800,2000
2024-01-12,West,Tablet,850,400,19,7600,1700
2024-01-13,North,Laptop,2100,900,27,24300,5400
2024-01-14,South,Laptop,1700,900,22,19800,4100
2024-01-15,East,Laptop,2300,900,30,27000,6000
2024-01-16,West,Laptop,1900,900,24,21600,4500
2024-01-17,North,Phone,1300,600,38,22800,5000
2024-01-18,South,Phone,1050,600,32,19200,4200
2024-01-19,East,Phone,1500,600,42,25200,5600
2024-01-20,West,Phone,1200,600,36,21600,4700
